产品ID,用户ID,订单份额,手机号,银行卡号,省份,城市,开户银行,绑卡状态
107595,128099,25000000,13612345678,123547879845516,上海市,上海市,招商银行,未已绑定
107595,128099,10000,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,20000,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,1000,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,1000000,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,2000,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,1500,13612345678,123547879845516,上海市,上海市,招商银行,已绑定
107595,128099,30000,13612345678,123547879845516,上海市,上海市,招商银行,未绑定
107595,128099,200000,13612345678,123547879845516,上海市,上海市,招商银行,未绑定
107595,128099,5000,13612345678,123547879845516,上海市,上海市,招商银行,未绑定
107595,128099,3500,13612345678,123547879845516,上海市,上海市,招商银行,已未绑定
